codigo	grupo	subgrupo	descripcion	precio	tipo_nomenclador	id_nomenclador_detalle
CMI 66	COMUNIDAD		Encuentros para promoción de pautas alimentarias	40	NORMAL	4
CMI 66	COMUNIDAD		Encuentros para promoción de pautas alimentarias	40	NORMAL	8
CMI 66	COMUNIDAD		Encuentros para promoción de pautas alimentarias	40	NORMAL	9
CMI 66	COMUNIDAD		Encuentros para promoción de pautas alimentarias	40	NORMAL	10
CMI 67	COMUNIDAD		Encuentros para promoción de salud sexual y reproductiva	15	NORMAL	1
CMI 67	COMUNIDAD		Encuentros para promoción de salud sexual y reproductiva	20	NORMAL	5
CMI 67	COMUNIDAD		Encuentros para promoción de salud sexual y reproductiva	20	NORMAL	6
CMI 67	COMUNIDAD		Encuentros para promoción de salud sexual y reproductiva	20	NORMAL	7
CMI 67	COMUNIDAD		Encuentros para promoción de salud sexual y reproductiva	40	NORMAL	2
CMI 67	COMUNIDAD		Encuentros para promoción de salud sexual y reproductiva	40	NORMAL	3
CMI 67	COMUNIDAD		Encuentros para promoción de salud sexual y reproductiva	40	NORMAL	4
CMI 67	COMUNIDAD		Encuentros para promoción de salud sexual y reproductiva	40	NORMAL	8
CMI 67	COMUNIDAD		Encuentros para promoción de salud sexual y reproductiva	40	NORMAL	9
CMI 67	COMUNIDAD		Encuentros para promoción de salud sexual y reproductiva	40	NORMAL	10
CMI 68	COMUNIDAD		Captación por búsqueda activa de embarazadas/niños con abandono de controles, por agente sanitario y personal de salud.	10	NORMAL	1
CMI 68	COMUNIDAD		Captación por búsqueda activa de embarazadas/niños con abandono de controles, por agente sanitario y personal de salud.	10	NORMAL	6
CMI 68	COMUNIDAD		Captación por búsqueda activa de embarazadas/niños con abandono de controles, por agente sanitario y personal de salud.	10	NORMAL	7
CMI 68	COMUNIDAD		Captación por búsqueda activa de embarazadas/niños con abandono de controles, por agente sanitario y personal de salud.	20	NORMAL	8
CMI 68	COMUNIDAD		Captación por búsqueda activa de embarazadas/niños con abandono de controles, por agente sanitario y personal de salud.	20	NORMAL	9
CMI 68	COMUNIDAD		Captación por búsqueda activa de embarazadas/niños con abandono de controles, por agente sanitario y personal de salud.	20	NORMAL	10
CMI 68	COMUNIDAD		Captación por búsqueda activa de embarazadas/niños con abandono de controles, por agente sanitario y personal de salud.	30	NORMAL	5
CMI 68	COMUNIDAD		Captación por búsqueda activa de embarazadas/niños con abandono de controles, por agente sanitario y personal de salud.	35	NORMAL	2
CMI 68	COMUNIDAD		Captación por búsqueda activa de embarazadas/niños con abandono de controles, por agente sanitario y personal de salud.	35	NORMAL	3
CMI 68	COMUNIDAD		Captación por búsqueda activa de embarazadas/niños con abandono de controles, por agente sanitario y personal de salud.	35	NORMAL	4
CPN 73	NULL	NULL	Capita de Consulta Pediátrica de niños menores de 6 años	2.5	NORMAL	1
HAM 00	NULL	NULL	Control Antropometrico de programa hambre cero	0	NORMAL	8
HAM 00	NULL	NULL	Control Antropometrico de programa hambre cero	0	NORMAL	9
HAM 00	NULL	NULL	Control Antropometrico de programa hambre cero	0	NORMAL	10
IMI 51	IMÁGENES		Ecografía en control prenatal	20	NORMAL	5
IMI 51	IMÁGENES		Ecografía en control prenatal	25	NORMAL	1
IMI 51	IMÁGENES		Ecografía en control prenatal	25	NORMAL	2
IMI 51	IMÁGENES		Ecografía en control prenatal	25	NORMAL	3
IMI 51	IMÁGENES		Ecografía en control prenatal	25	NORMAL	4
IMI 51	IMÁGENES		Ecografía en control prenatal	30	NORMAL	6
IMI 51	IMÁGENES		Ecografía en control prenatal	30	NORMAL	7
IMI 51	IMÁGENES		Ecografía en control prenatal	35	NORMAL	8
IMI 51	IMÁGENES		Ecografía en control prenatal	35	NORMAL	9
IMI 51	IMÁGENES		Ecografía en control prenatal	35	NORMAL	10
IMI 52	IMÁGENES		Electrocardiograma en embarazo	10	NORMAL	8
IMI 52	IMÁGENES		Electrocardiograma en embarazo	10	NORMAL	9
IMI 52	IMÁGENES		Electrocardiograma en embarazo	10	NORMAL	10
IMI 52	IMÁGENES		Electrocardiograma en embarazo	12	NORMAL	5
IMI 52	IMÁGENES		Electrocardiograma en embarazo	15	NORMAL	1
IMI 52	IMÁGENES		Electrocardiograma en embarazo	15	NORMAL	2
IMI 52	IMÁGENES		Electrocardiograma en embarazo	15	NORMAL	3
IMI 52	IMÁGENES		Electrocardiograma en embarazo	15	NORMAL	4
IMI 52	IMÁGENES		Electrocardiograma en embarazo	5	NORMAL	6
IMI 52	IMÁGENES		Electrocardiograma en embarazo	5	NORMAL	7
IMI 53	IMÁGENES		Electroencefalograma en niños menores de 6 años y mujeres embarazadas	12	NORMAL	5
IMI 53	IMÁGENES		Electroencefalograma en niños menores de 6 años y mujeres embarazadas	15	NORMAL	1
IMI 53	IMÁGENES		Electroencefalograma en niños menores de 6 años y mujeres embarazadas	15	NORMAL	2
IMI 53	IMÁGENES		Electroencefalograma en niños menores de 6 años y mujeres embarazadas	15	NORMAL	3
IMI 53	IMÁGENES		Electroencefalograma en niños menores de 6 años y mujeres embarazadas	15	NORMAL	4
IMI 53	IMÁGENES		Electroencefalograma en niños menores de 6 años y mujeres embarazadas	35	NORMAL	8
IMI 53	IMÁGENES		Electroencefalograma en niños menores de 6 años y mujeres embarazadas	35	NORMAL	9
IMI 53	IMÁGENES		Electroencefalograma en niños menores de 6 años y mujeres embarazadas	35	NORMAL	10
IMI 53	IMÁGENES		Electroencefalograma en niños menores de 6 años y mujeres embarazadas	5	NORMAL	6
IMI 53	IMÁGENES		Electroencefalograma en niños menores de 6 años y mujeres embarazadas	5	NORMAL	7
IMI 54	IMÁGENES		Rx tórax F y P en niños menores de 6 años	10	NORMAL	6
IMI 54	IMÁGENES		Rx tórax F y P en niños menores de 6 años	10	NORMAL	7
IMI 54	IMÁGENES		Rx tórax F y P en niños menores de 6 años	12	NORMAL	1
IMI 54	IMÁGENES		Rx tórax F y P en niños menores de 6 años	12	NORMAL	2
IMI 54	IMÁGENES		Rx tórax F y P en niños menores de 6 años	12	NORMAL	3
IMI 54	IMÁGENES		Rx tórax F y P en niños menores de 6 años	12	NORMAL	4
IMI 54	IMÁGENES		Rx tórax F y P en niños menores de 6 años	12	NORMAL	5
IMI 54	IMÁGENES		Rx tórax F y P en niños menores de 6 años	13	NORMAL	8
IMI 54	IMÁGENES		Rx tórax F y P en niños menores de 6 años	13	NORMAL	9
IMI 54	IMÁGENES		Rx tórax F y P en niños menores de 6 años	13	NORMAL	10
IMI 55	IMÁGENES		Rx tórax F y P en mujeres embarazadas	10	NORMAL	6
IMI 55	IMÁGENES		Rx tórax F y P en mujeres embarazadas	10	NORMAL	7
IMI 55	IMÁGENES		Rx tórax F y P en mujeres embarazadas	12	NORMAL	1
IMI 55	IMÁGENES		Rx tórax F y P en mujeres embarazadas	12	NORMAL	2
IMI 55	IMÁGENES		Rx tórax F y P en mujeres embarazadas	12	NORMAL	3
IMI 55	IMÁGENES		Rx tórax F y P en mujeres embarazadas	12	NORMAL	4
IMI 55	IMÁGENES		Rx tórax F y P en mujeres embarazadas	12	NORMAL	5
IMI 55	IMÁGENES		Rx tórax F y P en mujeres embarazadas	13	NORMAL	8
IMI 55	IMÁGENES		Rx tórax F y P en mujeres embarazadas	13	NORMAL	9
IMI 55	IMÁGENES		Rx tórax F y P en mujeres embarazadas	13	NORMAL	10
IMI 56	IMÁGENES		Rx. de cráneo F y P en niños menores de 6 años  y mujeres embarazadas	10	NORMAL	6
IMI 56	IMÁGENES		Rx. de cráneo F y P en niños menores de 6 años  y mujeres embarazadas	10	NORMAL	7
IMI 56	IMÁGENES		Rx. de cráneo F y P en niños menores de 6 años  y mujeres embarazadas	12	NORMAL	1
IMI 56	IMÁGENES		Rx. de cráneo F y P en niños menores de 6 años  y mujeres embarazadas	12	NORMAL	2
IMI 56	IMÁGENES		Rx. de cráneo F y P en niños menores de 6 años  y mujeres embarazadas	12	NORMAL	3
IMI 56	IMÁGENES		Rx. de cráneo F y P en niños menores de 6 años  y mujeres embarazadas	12	NORMAL	4
IMI 56	IMÁGENES		Rx. de cráneo F y P en niños menores de 6 años  y mujeres embarazadas	12	NORMAL	5
IMI 56	IMÁGENES		Rx. de cráneo F y P en niños menores de 6 años  y mujeres embarazadas	13	NORMAL	8
IMI 56	IMÁGENES		Rx. de cráneo F y P en niños menores de 6 años  y mujeres embarazadas	13	NORMAL	9
IMI 56	IMÁGENES		Rx. de cráneo F y P en niños menores de 6 años  y mujeres embarazadas	13	NORMAL	10
IMI 57	IMÁGENES		Rx  de huesos largos en niños  menores de 6 años c/patología prevalente.	10	NORMAL	6
IMI 57	IMÁGENES		Rx  de huesos largos en niños  menores de 6 años c/patología prevalente.	10	NORMAL	7
IMI 57	IMÁGENES		Rx  de huesos largos en niños  menores de 6 años c/patología prevalente.	12	NORMAL	1
IMI 57	IMÁGENES		Rx  de huesos largos en niños  menores de 6 años c/patología prevalente.	12	NORMAL	2
IMI 57	IMÁGENES		Rx  de huesos largos en niños  menores de 6 años c/patología prevalente.	12	NORMAL	3
IMI 57	IMÁGENES		Rx  de huesos largos en niños  menores de 6 años c/patología prevalente.	12	NORMAL	4
IMI 57	IMÁGENES		Rx  de huesos largos en niños  menores de 6 años c/patología prevalente.	12	NORMAL	5
IMI 57	IMÁGENES		Rx  de huesos largos en niños  menores de 6 años c/patología prevalente.	13	NORMAL	8
IMI 57	IMÁGENES		Rx  de huesos largos en niños  menores de 6 años c/patología prevalente.	13	NORMAL	9
IMI 57	IMÁGENES		Rx  de huesos largos en niños  menores de 6 años c/patología prevalente.	13	NORMAL	10
IMI 58	IMÁGENES		Eco-doppler en niños menores de 6 años	15	NORMAL	1
IMI 58	IMÁGENES		Eco-doppler en niños menores de 6 años	15	NORMAL	2
IMI 58	IMÁGENES		Eco-doppler en niños menores de 6 años	15	NORMAL	3
IMI 58	IMÁGENES		Eco-doppler en niños menores de 6 años	15	NORMAL	4
IMI 58	IMÁGENES		Eco-doppler en niños menores de 6 años	15	NORMAL	5
IMI 58	IMÁGENES		Eco-doppler en niños menores de 6 años	15	NORMAL	6
IMI 58	IMÁGENES		Eco-doppler en niños menores de 6 años	15	NORMAL	7
IMI 58	IMÁGENES		Eco-doppler en niños menores de 6 años	35	NORMAL	8
IMI 58	IMÁGENES		Eco-doppler en niños menores de 6 años	35	NORMAL	9
IMI 58	IMÁGENES		Eco-doppler en niños menores de 6 años	35	NORMAL	10
IMI 59	IMÁGENES		Electrocardiograma en niños menores de 6 años	10	NORMAL	8
IMI 59	IMÁGENES		Electrocardiograma en niños menores de 6 años	10	NORMAL	9
IMI 59	IMÁGENES		Electrocardiograma en niños menores de 6 años	10	NORMAL	10
IMI 59	IMÁGENES		Electrocardiograma en niños menores de 6 años	12	NORMAL	5
IMI 59	IMÁGENES		Electrocardiograma en niños menores de 6 años	15	NORMAL	1
IMI 59	IMÁGENES		Electrocardiograma en niños menores de 6 años	15	NORMAL	2
IMI 59	IMÁGENES		Electrocardiograma en niños menores de 6 años	15	NORMAL	3
IMI 59	IMÁGENES		Electrocardiograma en niños menores de 6 años	15	NORMAL	4
IMI 59	IMÁGENES		Electrocardiograma en niños menores de 6 años	5	NORMAL	6
IMI 59	IMÁGENES		Electrocardiograma en niños menores de 6 años	5	NORMAL	7
LMI 43	NIÑO	LABORATORIO	Laboratorio prueba de embarazo	10	NORMAL	1
LMI 43	NIÑO	LABORATORIO	Laboratorio prueba de embarazo	15	NORMAL	2
LMI 43	NIÑO	LABORATORIO	Laboratorio prueba de embarazo	15	NORMAL	3
LMI 43	NIÑO	LABORATORIO	Laboratorio prueba de embarazo	15	NORMAL	4
LMI 43	NIÑO	LABORATORIO	Laboratorio prueba de embarazo	5	NORMAL	5
LMI 43	NIÑO	LABORATORIO	Laboratorio prueba de embarazo	5	NORMAL	6
LMI 43	NIÑO	LABORATORIO	Laboratorio prueba de embarazo	5	NORMAL	7
LMI 43	NIÑO	LABORATORIO	Laboratorio prueba de embarazo	7	NORMAL	8
LMI 43	NIÑO	LABORATORIO	Laboratorio prueba de embarazo	7	NORMAL	9
LMI 43	NIÑO	LABORATORIO	Laboratorio prueba de embarazo	7	NORMAL	10
LMI 44	NIÑO	LABORATORIO	Laboratorio de control prenatal  de 1ra. Vez (incluye: grupo y factor,  hemoglobina, glucemia, orina completa, VDRL, Chagas, HIV, toxoplasmosis y Hbs antígeno).	55	NORMAL	5
LMI 44	NIÑO	LABORATORIO	Laboratorio de control prenatal  de 1ra. Vez (incluye: grupo y factor,  hemoglobina, glucemia, orina completa, VDRL, Chagas, HIV, toxoplasmosis y Hbs antígeno).	55	NORMAL	6
LMI 44	NIÑO	LABORATORIO	Laboratorio de control prenatal  de 1ra. Vez (incluye: grupo y factor,  hemoglobina, glucemia, orina completa, VDRL, Chagas, HIV, toxoplasmosis y Hbs antígeno).	55	NORMAL	7
LMI 44	NIÑO	LABORATORIO	Laboratorio de control prenatal  de 1ra. Vez (incluye: grupo y factor,  hemoglobina, glucemia, orina completa, VDRL, Chagas, HIV, toxoplasmosis y Hbs antígeno).	65	NORMAL	1
LMI 44	NIÑO	LABORATORIO	Laboratorio de control prenatal  de 1ra. Vez (incluye: grupo y factor,  hemoglobina, glucemia, orina completa, VDRL, Chagas, HIV, toxoplasmosis y Hbs antígeno).	65	NORMAL	2
LMI 44	NIÑO	LABORATORIO	Laboratorio de control prenatal  de 1ra. Vez (incluye: grupo y factor,  hemoglobina, glucemia, orina completa, VDRL, Chagas, HIV, toxoplasmosis y Hbs antígeno).	65	NORMAL	3
LMI 44	NIÑO	LABORATORIO	Laboratorio de control prenatal  de 1ra. Vez (incluye: grupo y factor,  hemoglobina, glucemia, orina completa, VDRL, Chagas, HIV, toxoplasmosis y Hbs antígeno).	65	NORMAL	4
LMI 44	NIÑO	LABORATORIO	Laboratorio de control prenatal  de 1ra. Vez (incluye: grupo y factor,  hemoglobina, glucemia, orina completa, VDRL, Chagas, HIV, toxoplasmosis y Hbs antígeno).	70	NORMAL	8
LMI 44	NIÑO	LABORATORIO	Laboratorio de control prenatal  de 1ra. Vez (incluye: grupo y factor,  hemoglobina, glucemia, orina completa, VDRL, Chagas, HIV, toxoplasmosis y Hbs antígeno).	70	NORMAL	9
LMI 44	NIÑO	LABORATORIO	Laboratorio de control prenatal  de 1ra. Vez (incluye: grupo y factor,  hemoglobina, glucemia, orina completa, VDRL, Chagas, HIV, toxoplasmosis y Hbs antígeno).	70	NORMAL	10
LMI 45	NIÑO	LABORATORIO	Laboratorio Ulterior de Control Prenatal  (Incluye Hemoglobina, Glicemia, Orina Completa, VDRL, HIV)	45	NORMAL	5
LMI 45	NIÑO	LABORATORIO	Laboratorio Ulterior de Control Prenatal  (Incluye Hemoglobina, Glicemia, Orina Completa, VDRL, HIV)	45	NORMAL	6
LMI 45	NIÑO	LABORATORIO	Laboratorio Ulterior de Control Prenatal  (Incluye Hemoglobina, Glicemia, Orina Completa, VDRL, HIV)	45	NORMAL	7
LMI 45	NIÑO	LABORATORIO	Laboratorio Ulterior de Control Prenatal  (Incluye Hemoglobina, Glicemia, Orina Completa, VDRL, HIV)	50	NORMAL	1
LMI 45	NIÑO	LABORATORIO	Laboratorio Ulterior de Control Prenatal  (Incluye Hemoglobina, Glicemia, Orina Completa, VDRL, HIV)	50	NORMAL	2
LMI 45	NIÑO	LABORATORIO	Laboratorio Ulterior de Control Prenatal  (Incluye Hemoglobina, Glicemia, Orina Completa, VDRL, HIV)	50	NORMAL	3
LMI 45	NIÑO	LABORATORIO	Laboratorio Ulterior de Control Prenatal  (Incluye Hemoglobina, Glicemia, Orina Completa, VDRL, HIV)	50	NORMAL	4
LMI 45	NIÑO	LABORATORIO	Laboratorio Ulterior de Control Prenatal  (Incluye Hemoglobina, Glicemia, Orina Completa, VDRL, HIV)	50	NORMAL	8
LMI 45	NIÑO	LABORATORIO	Laboratorio Ulterior de Control Prenatal  (Incluye Hemoglobina, Glicemia, Orina Completa, VDRL, HIV)	50	NORMAL	9
LMI 45	NIÑO	LABORATORIO	Laboratorio Ulterior de Control Prenatal  (Incluye Hemoglobina, Glicemia, Orina Completa, VDRL, HIV)	50	NORMAL	10
LMI 46	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo I)	10	NORMAL	8
LMI 46	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo I)	10	NORMAL	9
LMI 46	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo I)	10	NORMAL	10
LMI 46	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo I)	3	NORMAL	1
LMI 46	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo I)	3	NORMAL	2
LMI 46	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo I)	3	NORMAL	3
LMI 46	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo I)	3	NORMAL	4
LMI 46	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo I)	3	NORMAL	5
LMI 46	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo I)	3	NORMAL	6
LMI 46	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo I)	3	NORMAL	7
LMI 47	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo II)	15	NORMAL	8
LMI 47	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo II)	15	NORMAL	9
LMI 47	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo II)	15	NORMAL	10
LMI 47	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo II)	6	NORMAL	1
LMI 47	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo II)	6	NORMAL	2
LMI 47	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo II)	6	NORMAL	3
LMI 47	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo II)	6	NORMAL	4
LMI 47	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo II)	6	NORMAL	5
LMI 47	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo II)	6	NORMAL	6
LMI 47	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo II)	6	NORMAL	7
LMI 48	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo III)	10	NORMAL	1
LMI 48	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo III)	10	NORMAL	2
LMI 48	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo III)	10	NORMAL	3
LMI 48	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo III)	10	NORMAL	4
LMI 48	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo III)	10	NORMAL	5
LMI 48	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo III)	10	NORMAL	6
LMI 48	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo III)	10	NORMAL	7
LMI 48	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo III)	15	NORMAL	8
LMI 48	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo III)	15	NORMAL	9
LMI 48	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo III)	15	NORMAL	10
LMI 49	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo IV)	15	NORMAL	1
LMI 49	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo IV)	15	NORMAL	2
LMI 49	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo IV)	15	NORMAL	3
LMI 49	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo IV)	15	NORMAL	4
LMI 49	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo IV)	15	NORMAL	5
LMI 49	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo IV)	15	NORMAL	6
LMI 49	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo IV)	15	NORMAL	7
LMI 49	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo IV)	15	NORMAL	8
LMI 49	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo IV)	15	NORMAL	9
LMI 49	NIÑO	LABORATORIO	Laboratorio Materno Infantil  (1 prueba de Anexo IV)	15	NORMAL	10
