nombre	domicilio	departamento	localidad	codpos	cuidad	referente	tel	com_gestion	com_gestion_firmante	fecha_comp_ges	fecha_fin_comp_ges	com_gestion_pago_indirecto	tercero_admin	tercero_admin_firmante	fecha_tercero_admin	fecha_fin_tercero_admin	cuie	usuario	fecha_modificacion	dni_firmante_actual	com_gestion_firmante_actual	n_2008	n_2009	id_nomenclador_detalle	id_zona_sani	mail	padre
CAPS. Nº 12 VILLA FLOR	CHACRA 241 - HUNGRIA 5355 Y BOUCHARDO	028	030	3300	POSADAS	DRA PERRI MARÍA DEL CARMEN	03752-597499             	VERDADERO 	MARÍA DEL CARMEN PERRI	2005-07-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N00297				MARÍA DEL CARMEN PERRI			10	6	                                        	
CAPS Nº 13 VILLA LANÚS	ANEXO UNIDAD GERIATRICA AV. JUAN DOMINGO PERON Y M	028	030	3300	POSADAS	DRA TORRES LORENA FERNANDA	03752-488438             	VERDADERO 	FERNANDA LORENA TORRES	2006-07-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N00298				FERNANDA LORENA TORRES			10	6	                                        	
HOGAR DE DÍA PARA LA ATENCIÓN INTEGRAL DEL NIÑO		028	030	3300	POSADAS	ESTEBAN SAMUEL LÓPEZ		VERDADERO 	ESTEBAN SAMUEL LÓPEZ	2010-03-05	2011-12-31	FALSO     		ESTEBAN SAMUEL LÓPEZ			N00299				ESTEBAN SAMUEL LÓPEZ			10	6	                                        	
CAPS Nº 1 SAN MIGUEL	AV. 115 Y AV. CENTENARIO	028	030	3300	POSADAS	DRA MARTINEZ GONZALEZ, FRANCISCA	03752-468013             	VERDADERO 	FRANCISCA MARÍA MARTINEZ GONZÁLEZ	2005-10-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N00327				FRANCISCA MARÍA MARTINEZ GONZÁLEZ			10	6	                                        	
CAPS. Nº 15 ALTA GRACIA	CHACRA 75 - AV. TOMAS GUIDO Y AV. ANDRESITO	028	030	3300	POSADAS	DRA. PERRI, MARÍA DEL CARMEN	03752-458207             	VERDADERO 	MARÍA DEL CARMEN PERRI	2005-12-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N00328				MARÍA DEL CARMEN PERRI			10	6	                                        	
CAPS Nº 5 YACYRETÁ	CHACRA 103 - AGUADO Y BLAS PARERA	028	030	3300	POSADAS	MARÍA MARCELA IRIGARAY	03752-468018             	VERDADERO 	MARÍA MARCELA IRIGARAY	2005-07-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N00329				MARÍA MARCELA IRIGARAY			10	6	                                        	
HOSPITAL NIVEL I  DR. RENE FAVALORO	AV.TAMBOR DE TACUARI 7300	028	030	3300	POSADAS	DR. ROLON GUILLERMO ROQUE	03752-468010             	VERDADERO 	GUILLERMO ROQUE ROLÓN	2005-07-01	2011-12-31	FALSO     					N00419				GUILLERMO ROQUE ROLÓN			10	6	                                        	
CAPS. Nº 16 SANTA RITA	AV. 123 Y CHACABUCO	028	030	3300	POSADAS	DRA SANDOVAL LAURA BEATRIZ	03752-468012             	VERDADERO 	LAURA BEATRIZ SANDOVAL	2005-01-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N00420				LAURA BEATRIZ SANDOVAL			10	6	                                        	
CAPS Nº 11 CECILIA GRIERSON	RUTA PROVINCIAL 213 - RESIDENCIA DEL GOBERNADOR	028	030	3300	POSADAS	DRA DOS SANTOS MARIA TERESA	03752-458213             	VERDADERO 	MARÍA TERESA DOS SANTOS	2005-07-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N00482				MARÍA TERESA DOS SANTOS			10	6	                                        	
C.E.P. MUNICIP. SAN MARCOS	Bº SAN MARCOS	028	030	3300	POSADAS	MIRTA RINAS		VERDADERO 	MIRTA RINAS	2008-10-01	2011-12-31	VERDADERO 	N10450	LAURA BEATRÍZ BLODEK	2008-10-01	2009-12-31	N00483				MIRTA RINAS			10	6	                                        	
CAPS. MUNICIP. ITAEMBÉ MINÍ	Bº ITAEMBÉ MINÍ	028	030	3300	POSADAS	DR. ESTEVEZ		FALSO     		2010-11-04	2011-12-31	FALSO     					N00484							10	6	                                        	
CAPS. Nº 06 VILLA BLOSSETT	CHACRA 23 - LANUSSE Y SAN MARTIN	028	030	3300	POSADAS	DRA. BLASSIOTTO LAURA VIVIANA	03752-444072             	VERDADERO 	LAURA VIVIANA BLASSIOTTO	2005-12-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N00496				LAURA VIVIANA BLASSIOTTO			10	6	                                        	
HOSPITAL MATERNO NEONATAL - DR. RAMÓN MADARIAGA	AV. LOPEZ TORRES 1177	028	030	3300	POSADAS	HUGO ALEJANDRO OCAMPO	03752-447775             	VERDADERO 	HUGO ALEJANDRO OCAMPO	2005-07-01	2011-12-31	FALSO     					N00538				HUGO ALEJANDRO OCAMPO			10	6	                                        	
CAPS. Nº 25 Bº SUR ARGENTINO	PENINZULA DE VALDEZ Y ESTRECHO Bº SUR ARGENTINO	028	030	3300	POSADAS	DRA CARMEN CELINA CABRERA	03752-458255             	VERDADERO 	CARMEN CELINA CABRERA	2006-07-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N00664				CARMEN CELINA CABRERA			10	6	                                        	
CAPS Nº 3 CH.179 - EX 181 - ESC. EJERCITO ARGENTINO	AV URQUIZA Y AV SAN MARTIN	028	030	3300	POSADAS	DRA GIANECHINI, MONICA	03752-468014             	VERDADERO 	MÓNICA GIANECHINI	2005-12-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N00746				MÓNICA GIANECHINI			10	6	                                        	
CAPS 100 HECTÁREAS	CLAVEL DEL AIRE Y GUATAMBU	091	080	3360	OBERA	DRA. TOSCANO, NORA FRANCISCA	                         	VERDADERO 	NORA FRANCISCA TOSCANO	2005-01-01	2011-12-31	VERDADERO 	N95728	HÉCTOR PROEZA	2008-03-26	2009-12-31	N01138				NORA FRANCISCA TOSCANO			10	9	                                        	
CAPS Nº10 VILLA TORNEUS	CALLE 17 Y ONCATIVO	091	080	3360	OBERA	MIRIAM BEATRÍZ READETZKI	03755-15-509749          	VERDADERO 	MIRIAM BEATRÍZ READETZKI	2005-01-01	2011-12-31	VERDADERO 	N95728	HÉCTOR PROEZA	2008-03-26	2009-12-31	N01139				MIRIAM BEATRÍZ READETZKI			10	9	                                        	
CENTRO DE SALUD Nº 4 - SARGENTO CABRAL	PICADA SARGENTO CABRAL 5117	091	080	3360	OBERA	GABRIELA ARANDA	                         	VERDADERO 	GABRIELA ARANDA	2006-07-01	2011-12-31	VERDADERO 	N95728	HÉCTOR PROEZA	2008-03-26	2009-12-31	N01141				GABRIELA ARANDA			10	9	                                        	
HOSPITAL SAMIC DE OBERA - NIVEL III	PINCEN Y FEDERACION	091	080	3360	OBERA	JULIA DALILA BÛHL	03755-421226             	VERDADERO 	JULIA DALILA BÛHL	2005-01-01	2011-12-31	FALSO     					N01145				JULIA DALILA BÛHL			10	9	                                        	
CAPSNº 26 LOMA POÍ EBY A3-2	VILLA LANUS MANZANA 15 CASA 26	028	030	3300	POSADAS	GRACIELA ELISA FERNÁNDEZ DE BOJANOVICH	03752-488442             	VERDADERO 	GRACIELA ELISA FERNÁNDEZ DE BOJANOVICH	2005-07-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N01148				GRACIELA ELISA FERNÁNDEZ DE BOJANOVICH			10	6	                                        	
HOSPITAL DE 25 DE MAYO - NIVEL I  -DR RICARDO ALBA POSSE	COMANDANTE ANDRESITO Y SAN MARTIN S/N	119	060	3363	25 DE MAYO	DRA GRACIELA BEATRIZ MEDINA	03755-493066             	VERDADERO 	GRACIELA BEATRIZ MEDINA	2005-10-01	2011-12-31	FALSO     					N03154				GRACIELA BEATRIZ MEDINA			10	9	                                        	
HOSPITAL NIVEL II DE APÓSTOLES	TUCUMAN 569	007	010	3350	APOSTOLES	JUAN ANTONIO ZANÓN YUDAR	03758-422666             	VERDADERO 	JUAN ANTONIO ZANÓN YUDAR	2005-09-01	2011-12-31	FALSO     					N03155				JUAN ANTONIO ZANÓN YUDAR			10	7	                                        	
HOSPITAL NIVEL I DE BERNARDO DE IRIGOYEN - MANUEL BELGRANO	AV. DE LAS AMERICAS S/N	049	020	3366	BERNARDO DE YRIGOYEN	MARÍA EMILIA BRÍTEZ	03741-420220             	VERDADERO 	MARÍA EMILIA BRÍTEZ	2005-09-01	2011-12-31	FALSO     					N03156				MARÍA EMILIA BRÍTEZ			10	11	                                        	
HOSPITAL CANDELARIA NIVEL I	AV. ROQUE GONZALEZ 836 Y AV. ALEM	021	020	3308	CANDELARIA	RICARDO RAÚL PEREYRA	03752-493014             	VERDADERO 	RICARDO RAÚL PEREYRA	2005-01-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N03157				RICARDO RAÚL PEREYRA			10	8	                                        	
CAPS. Nº 20 ÑÚ PORÁ	ALBERTO ROTH	028	010	3304	GARUPA	DRA MARCHESINI NATALIA ANALIA	03752-488437             	VERDADERO 	NATALIA ANALÍA MARCHESINI	2006-07-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N03158				NATALIA ANALÍA MARCHESINI			10	6	                                        	
CAPS Nº 23 SAN LORENZO. NUEVA ESPERANZA. EBY A4	BARRIO A4 YACYRETA	028	030	3300	POSADAS	SILVIA BASIUK	03752-597416             	VERDADERO 	SILVIA BASIUK	2005-07-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N03159				SILVIA BASIUK			10	6	                                        	
CAPS Nº 22 DR. RAMÓN CARRILLO	AV QUARANTA (HOSP. BALIÑA)	028	030	3300	POSADAS	DRA. TOLEDO, ILDA INES	03752-597493             	VERDADERO 	MÓNICA DEL CARMEN FRAGUEIRO	2005-10-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N03161				MÓNICA DEL CARMEN FRAGUEIRO			10	6	                                        	
UNIDAD GERIÁTRICA VILLA LANÚS	AV. PTE PERON 1930	028	030	3300	POSADAS	DRA MIRTA CLARA SORIA	03752-488439             	VERDADERO 	MARIA CLARA SORIA	2007-12-17	2011-12-31	FALSO     					N03162				MARIA CLARA SORIA			10	6	                                        	
HOSPITAL ÁREA CONCEPCIÓN DE LA SIERRA - NIVEL I	AV. MITRE Y ROQUE SAENZ PEÑA	035	020	3355	CONCEPCION DE LA SIERRA	DRA VALLEJOS MARIA CONCEPCION	03758-470010             	VERDADERO 	MARÍA CONCEPCIÓN VALLEJOS	2006-07-01	2011-12-31	FALSO     					N03163				MARÍA CONCEPCIÓN VALLEJOS			10	7	                                        	
CAPS SARMIENTO	BERMEJO 288	042	020	3380	ELDORADO	MARÍA HOBECKER MAYER	                         	VERDADERO 	MARÍA HOBECKER MAYER	2005-01-01	2011-12-31	VERDADERO 	N95613	FABIO MARTINEZ	2008-03-26	2009-12-31	N03164				MARÍA HOBECKER MAYER			10	10	                                        	
C.E.P. BELGRANO KILÓMETRO 8	KM. 8 - ELDORADO	042	020	3380	ELDORADO	LOURDES TERESA PEREZ ALFONSO DE VILLALBA		VERDADERO 	LOURDES TERESA PÉREZ ALFONSO	2005-01-01	2011-12-31	VERDADERO 	N95613	FABIO MARTINEZ	2008-03-26	2009-12-31	N03165				LOURDES TERESA PÉREZ ALFONSO			10	10	                                        	
HOSPITAL DE  SAN ANTONIO - NIVEL I	AV. ANDRES GUACURARY S/N	049	050	3366	SAN ANTONIO	DR. DANIEL OSVALDO CACERES	03743-493054             	VERDADERO 	DANIEL OSVALDO CÁCERES	2005-12-01	2011-12-31	FALSO     					N03166				DANIEL OSVALDO CÁCERES			10	11	                                        	
HOSPITAL DE EL SOBERBIO - NIVEL I	CHIVILCOY S/N	056	010	3364	EL SOBERBIO	DRA. MARIA F.CASTILLO  DE SMOLAZUK	03755-495087             	VERDADERO 	MARÍA F. CASTILLO DE SMOLAZUK	2006-07-01	2011-12-31	FALSO     					N03167				MARÍA F. CASTILLO DE SMOLAZUK			10	11	                                        	
HOSPITAL DE SAN VICENTE - NIVEL II	TUPAC AMARU Y RUTA N° 12 S/N	056	030	3364	SAN VICENTE	DR. BARELLA, HÉCTOR CRISTIAN	03755-460590             	VERDADERO 	HÉCTOR CRISTIAN BARELLA	2005-09-01	2011-12-31	FALSO     					N03168				HÉCTOR CRISTIAN BARELLA			10	11	                                        	
HOSPITAL DE PUERTO IGUAZÚ "DRA MARTA SCHWARZ" - NIVEL II	AV. VICTORIA AGUIRRE 602	063	030	3370	IGUAZU	JULIO RAÚL ZARZA	03757-420288             	VERDADERO 	ROBERTO E. AREVALO	2005-09-01	2011-12-31	FALSO     					N03169				ROBERTO E. AREVALO			10	10	                                        	
HOSPITAL DE JARDÍN AMÉRICA “ TODOYOSKI KAMADA “- NIVEL II	ACONCAGUA 575	098	080	3328	JARDIN AMERICA	DR. VALLENA, ADOLFO JAVIER	03743-460174             	VERDADERO 	JAVIER ADOLFO VALLENA	2005-09-01	2011-12-31	FALSO     					N03170				JAVIER ADOLFO VALLENA			10	8	                                        	
HOSPITAL DE  PUERTO RICO - NIVEL II - DR RICARDO GUTIERREZ	RICARDO GUTIERREZ 55	077	060	3334	PUERTO RICO	SERGIO DANIEL FREIBERGER	03743-420520             	VERDADERO 	SERGIO DANIEL FREIBERGER	2006-03-01	2011-12-31	FALSO     					N03171				SERGIO DANIEL FREIBERGER			10	8	                                        	
UNIDAD SANITARIA RUIZ DE MONTOYA	AV. DE LOS INMIGRANTES S/N	077	070	3334	RUIZ DE MONTOYA	DR. MANUEL VIDAL	03743-495171             	VERDADERO 	MANUEL VIDAL	2005-10-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N03172				MANUEL VIDAL			10	8	                                        	
CAPS Nº 9 Bº CABALLERIZA-SISTEN VICK	FINLANDIA S/N - Bº CABALLERIZA	091	080	3360	OBERA	MARÍA ANTONIA MAURIÑO	                         	VERDADERO 	MARÍA ANTONIA MAURIÑO	2005-01-01	2011-12-31	VERDADERO 	N95728	HÉCTOR PROEZA	2008-03-26	2009-12-31	N03173				MARÍA ANTONIA MAURIÑO			10	9	                                        	
HOSPITAL DE SAN JAVIER - NIVEL I	E LAZAGA 121	105	040	3357	SAN JAVIER	DANNY, SEBASTIÁN LORENZO	03754-482326             	VERDADERO 	DANNY SEBASTIÁN LORENZO	2005-09-01	2011-12-31	FALSO     					N03174				DANNY SEBASTIÁN LORENZO			10	7	                                        	
CAPS CAMPO LAS DOLORES - MUNICIPAL	CAMPO LAS DOLORES	028	030	3300	POSADAS	DR. GERMAN BRICHT		FALSO     				FALSO     					N03566							10	6	                                        	
POSTA DE SALUD SANTA CLARA	BARRIO SANTA CLARA	028	030	3300	POSADAS	MARÍA ESTHER FERREYRA		VERDADERO 	MARÍA ESTHER FERREYRA	2009-03-15	2011-12-31	VERDADERO 		ADOLFO LUIS KLEKAIRO	2009-03-15	2009-12-31	N03584				MARÍA ESTHER FERREYRA			10	6	                                        	
POSTA DE SALUD Bº NIÑO JESÚS	BARRIO NIÑO JESÚS	028	030	3300	POSADAS	DR. ESTEVEZ		FALSO     				FALSO     					N03585							10	6	                                        	
HOSPITAL NIVEL II "NUESTRA SEÑORA DE FATIMA"	Bº FÁTIMA	028	010	3304	GARUPA	DRA GARNIER MARIELA	03752-444342             	VERDADERO 	MARIELA GARNIER	2005-12-01	2011-12-31	FALSO     					N03586				MARIELA GARNIER			10	6	                                        	
POSTA SANITARIA JARDÍN DE LOS NIÑOS, CASITA DE SALUD		028	030	3300	POSADAS			FALSO     				FALSO     					N03587							10	6	                                        	
C. S. EL PORVENIR		028	030	3300	POSADAS			FALSO     				FALSO     					N03588							10	6	                                        	
SAN RAMON	LAS PALMERAS S/N CASI COCOMAROLA	028	030	3300	POSADAS	STELLA MARIS MUÑOZ	03752-15582777           	FALSO     				FALSO     					N03589							10	6	                                        	
CAPILLA SAN RAFAEL		028	030	3300	POSADAS			FALSO     				FALSO     					N03590							10	6	                                        	
HOSPITAL NIVEL I AZARA	AZARA	007	020	3351	AZARA	MARCELA GONZÁLEZ DE YACOVICH	03758-493130             	VERDADERO 	MARCELA GONZÁLEZ DE YACOVICH	2005-09-01	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRIGUEZ	2008-03-26	2009-12-31	N05161				MARCELA GONZÁLEZ DE YACOVICH			10	7	                                        	
HOSPITAL DE  SAN JOSÉ - NIVEL I	ISLAS MALVINAS 829	007	060	3306	SAN JOSE	DRA. GRACIELA MAIDANA	03758-492013             	VERDADERO 	GRACIELA MAIDANA	2005-09-01	2011-12-31	FALSO     					N05162				GRACIELA MAIDANA			10	7	                                        	
PUESTO DE S. SANTA ANA	BELGRANO Y ANTONIO MELO	021	080	3316	SANTA ANA	DRA ESPERANZA RISKI	03752-497027             	VERDADERO 	ESPERANZA RISKI	2005-01-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05163				ESPERANZA RISKI			10	8	                                        	
HOSPITAL DE BONPLAND NIVEL I	BONPLAND	021	010	3317	BOMPLAND	DR. GONZALES ALARCON, MARIO		VERDADERO 	MARIO GONZÁLEZ ALARCON	2006-07-01	2011-12-31	VERDADERO 	N95611	JORGE EDUARDO RODRIGUEZ	2008-03-26	2009-12-31	N05164				MARIO GONZÁLEZ ALARCON			10	7	                                        	
HOSPITAL DE SAN IGNACIO "DR HEBERTO VALDOVINO"- NIVEL I	AV. HORACIO QUIROGA 635	098	110	3322	SAN IGNACIO	DR. CABRERA, OSVALDO	03752-470007             	VERDADERO 	OSVALDO RUBÉN CABRERA	2005-09-01	2011-12-31	FALSO     					N05165				OSVALDO RUBÉN CABRERA			10	8	                                        	
HOSPITAL DE  GOBERNADOR ROCA - NIVEL I - LUIS ROLANDENI	RIVADAVIA 864	098	050	3324	GOBERNADOR ROCA	CARLOS RUBÉN SILVA	03752-498017             	VERDADERO 	CARLOS RUBÉN SILVA	2005-09-01	2011-12-31	FALSO     					N05166				CARLOS RUBÉN SILVA			10	8	                                        	
PUESTO DE S. SANTO PIPO	AV. SAN MARTIN S/N	098	120	3326	SANTO PIPO	DR. PIGERL OTTO ANDRES	03752-490315             	VERDADERO 	OTTO ANDRÉS PIGERL	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05167				OTTO ANDRÉS PIGERL			10	8	                                        	
HOSPITAL DE CAPIOVÍ - NIVEL I - DR. RENE FAVALORO	SAN LUIS GONZAGA S/N	077	010	3332	CAPIOVI	DR. LOPEZ VIDAL DIONISIO	03743-493299             	VERDADERO 	DIONISIO LÓPEZ VIDAL	2005-10-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05168				DIONISIO LÓPEZ VIDAL			10	8	                                        	
CAPS GARUAPHÉ	AV. DE LAS AMERICAS S/N	077	030	3334	GARUHAPE	ALBERTO ALFONSO	03743-491419             	VERDADERO 	ALBERTO ALFONSO	2006-07-01	2011-12-31	VERDADERO 	N95727	JOSÉ ANTONIO RANIERI	2008-03-26	2009-12-31	N05169				ALBERTO ALFONSO			10	8	                                        	
HOSPITAL  SAMIC NIVEL II - DE L. N. ALEM  "DR. JUAN FERNANDO ALEGRE"	RIVADAVIA 710	070	070	3315	LEANDRO N ALEM	GRACIELA MIRIN KRIEGER	03754-420216             	VERDADERO 	ALICIA BEATRIZ SCIALABBA	2005-09-01	2011-12-31	FALSO     					N05170				ALICIA BEATRIZ SCIALABBA			10	7	                                        	
CAPS ITACARUARE	9 DE JULIO Y CARTENSEN	105	020	3353	ITACARUARE	DANNY, SEBASTIAN LORENZO	                         	VERDADERO 	DANNY SEBASTIÁN LORENZO	2006-07-01	2011-12-31	VERDADERO 	N03174	DANNY, SEBASTIAN LORENZO	2006-07-01	2009-12-31	N05171				DANNY SEBASTIÁN LORENZO			10	7	                                        	
HOSPITAL DE ALBA POSSE - NIVEL I	RUTA PROVINCIAL Nº 8	119	010	3363	ALBA POSSE	DR. JORGE NICOLINI	03755-482011             	VERDADERO 	JORGE OSCAR NICOLINI	2005-12-01	2011-12-31	FALSO     					N05172				JORGE OSCAR NICOLINI			10	9	                                        	
CAPS COLONIA AURORA	AV SAN MARTÍN S/N - LOTE 18	119	030	3363	COLONIA AURORA	PAULA GUIMARAES	03755-487068             	VERDADERO 	PAULA GUIMARAES	2005-12-01	2011-12-31	VERDADERO 	N95728	HÉCTOR PROEZA	2008-03-26	2009-12-31	N05173				PAULA GUIMARAES			10	9	                                        	
HOSPITAL DE DOS DE MAYO - NIVEL I	ESPAÑA  S/N	014	030	3364	2 DE MAYO	EDUARDO SÁNCHEZ	03755-496715             	VERDADERO 	EDUARDO SÁNCHEZ	2006-07-01	2011-12-31	FALSO     					N05174				EDUARDO SÁNCHEZ			10	9	                                        	
HOSPITAL DE ARISTOBULO DEL VALLE - NIVEL I	CORRIENTES 2001	014	010	3364	ARISTOBULO DEL VALLE	MARÍA SILVIA PATRICIA PANERO	03755-470200             	VERDADERO 	MARÍA SILVIA PATRICIA PANERO	2006-07-01	2011-12-31	FALSO     					N05175				MARÍA SILVIA PATRICIA PANERO			10	9	                                        	
HOSPITAL DE CAMPO GRANDE - NIVEL I	PASTEUR Y YAPEYU S/N	014	020	3362	CAMPO GRANDE	DRA. PICCOLOTTO DE SANCHEZ, MARTA ANA AGUSTINA	03755-499191             	VERDADERO 	MARTA ANA AGUSTINA PICCOLOTTO DE SÁNCHEZ	2005-09-01	2011-12-31	VERDADERO 	N95728	HÉCTOR PROEZA	2008-03-26	2009-12-31	N05176				MARTA ANA AGUSTINA PICCOLOTTO DE SÁNCHEZ			10	9	                                        	
HOSPITAL DE MONTECARLO - NIVEL I -DR OSCAR EUGENIO DARU	COMANDANTE ANDRESITO 117	084	030	3384	MONTECARLO	MARÍA ALEJANDRA LAMY	03751-480020             	VERDADERO 	MARÍA ALEJANDRA LAMY	2005-09-01	2011-12-31	FALSO     					N05177				MARÍA ALEJANDRA LAMY			10	10	                                        	
HOSPITAL PIRAY - NIVEL I	BARTOLOME  MITRE 253	084	050	3381	PUERTO PIRAY	MARÍA FERNANDA SENESTRARI	03751-460081             	VERDADERO 	MARÍA FERNANDA SENESTRARI	2005-11-01	2011-12-31	FALSO     					N05178				MARÍA FERNANDA SENESTRARI			10	10	                                        	
HOSPITAL NIVEL I DE COLONIA DELICIA (EX MADO) PADRE ENRIQUE DE MAZZORRA	AV IRVERIZA S/N	042	110	3382	COLONIA DELICIA	DR. VELASQUEZ VIDAL	03751-490446             	VERDADERO 	VIDAL ROBERTO VELÁZQUEZ	2005-12-01	2011-12-31	VERDADERO 	N95613	FABIO MARTINEZ	2008-03-26	2009-12-31	N05179				VIDAL ROBERTO VELÁZQUEZ			10	10	                                        	
HOSPITAL NIVEL I DE ALMIRANTE BROWN	AV. LIBERTADOR S/N	049	010	s/n	CMTE GUACURARY	DR. MENDOZA RUBEN	03757-497061             	VERDADERO 	DR. MENDOZA RUBEN	2005-11-01	2011-12-31	FALSO     					N05180				DR. MENDOZA RUBEN			10	11	                                        	
HOSPITAL DE SAN PEDRO - NIVEL I	CORRIENTES 727	112	040	3364	SAN PEDRO	DRA. PUJATO ALICIA	03751-470514             	VERDADERO 	ALICIA PUJATO	2005-09-01	2011-12-31	FALSO     					N05181				ALICIA PUJATO			10	11	                                        	
HOSPITAL DE  ELDORADO - NIVEL III	KM 10 Y CALLE DR. PRIETTO S/N	042	020	3380	ELDORADO	JHAKE DIETER  KLAUS	03751-421536             	VERDADERO 	KLAUS DIETER JHAKE	2005-01-01	2011-12-31	FALSO     					N05182				KLAUS DIETER JHAKE			10	10	                                        	
